consultant_id,first_name,last_name,employment_type,services,regions,pools,restrictions,customer_experience
CONS_100001,Anna,Eriksson,Contractor,InventoryControl;Picker;TeamLead,SE-MAL,Inventory_Pool_SE;Logistics_Pool_Malmo;TeamLead_Pool_SE,NULL,CUST_WAREHOUSE_2
CONS_100002,Viktor,Håkansson,Employee,InventoryControl;Packer,SE-STH,Inventory_Pool_SE;Logistics_Pool_Stockholm,NULL,CUST_WAREHOUSE_1;CUST_WAREHOUSE_6
CONS_100003,Johan,Björk,Employee,ForkliftOperator;Packer,SE-GOT;SE-MAL,Logistics_Pool_Goteborg;Logistics_Pool_Malmo,CUST_WAREHOUSE_7,CUST_WAREHOUSE_2
CONS_100004,Karin,Håkansson,Employee,ForkliftOperator;Picker,SE-STH,Logistics_Pool_Stockholm,NULL,
CONS_100005,Axel,Holm,Employee,ForkliftOperator;InventoryControl;Picker,SE-UPP,Inventory_Pool_SE,NULL,CUST_WAREHOUSE_10
CONS_100006,Hassan,Lundqvist,Employee,ForkliftOperator;InventoryControl;Packer,SE-LIN,Inventory_Pool_SE,NULL,CUST_WAREHOUSE_4;CUST_WAREHOUSE_9
CONS_100007,Viktor,Mattsson,Employee,ForkliftOperator;Packer,SE-STH,Logistics_Pool_Stockholm,CUST_WAREHOUSE_5,CUST_WAREHOUSE_6
CONS_100008,Simon,Eriksson,Employee,InventoryControl;Picker,SE-MAL,Inventory_Pool_SE;Logistics_Pool_Malmo,CUST_WAREHOUSE_6,CUST_WAREHOUSE_2
CONS_100009,Ali,Berg,Employee,ForkliftOperator;InventoryControl;Packer;TeamLead,SE-STH,Inventory_Pool_SE;Logistics_Pool_Stockholm;TeamLead_Pool_SE,NULL,CUST_WAREHOUSE_6
CONS_100010,Ida,Lindberg,Contractor,ForkliftOperator;InventoryControl;Packer,SE-MAL,Inventory_Pool_SE;Logistics_Pool_Malmo,CUST_WAREHOUSE_1,CUST_WAREHOUSE_2
CONS_100011,Maja,Karlsson,Temp,InventoryControl;Packer,SE-STH,Inventory_Pool_SE;Logistics_Pool_Stockholm,NULL,CUST_WAREHOUSE_1;CUST_WAREHOUSE_6
CONS_100012,Oskar,Andersson,Employee,ForkliftOperator;InventoryControl;Picker,SE-MAL,Logistics_Pool_Malmo,CUST_WAREHOUSE_6,
CONS_100013,Johan,Berg,Employee,InventoryControl;Packer;Picker,SE-GOT;SE-UPP,Logistics_Pool_Goteborg,CUST_WAREHOUSE_9,CUST_WAREHOUSE_10;CUST_WAREHOUSE_3
CONS_100014,Anna,Karlsson,Temp,ForkliftOperator;InventoryControl;Picker,SE-GOT,Logistics_Pool_Goteborg,CUST_WAREHOUSE_7,CUST_WAREHOUSE_3
CONS_100015,Karin,Ek,Employee,InventoryControl;Picker,SE-LIN;SE-UPP,Inventory_Pool_SE,NULL,CUST_WAREHOUSE_10;CUST_WAREHOUSE_4;CUST_WAREHOUSE_9
CONS_100016,Erik,Löfgren,Employee,Picker;TeamLead,SE-GOT;SE-STH,Logistics_Pool_Goteborg;Logistics_Pool_Stockholm;TeamLead_Pool_SE,NULL,CUST_WAREHOUSE_1;CUST_WAREHOUSE_3;CUST_WAREHOUSE_6
CONS_100017,Lovisa,Nilsson,Contractor,ForkliftOperator;Packer,SE-LIN,Logistics_Pool_Malmo,NULL,CUST_WAREHOUSE_8
CONS_100018,Ali,Ek,Employee,ForkliftOperator;InventoryControl;Packer,SE-STH,Inventory_Pool_SE;Logistics_Pool_Stockholm,NULL,CUST_WAREHOUSE_1
CONS_100019,Fatima,Persson,Employee,Packer,SE-LIN;SE-MAL,Logistics_Pool_Malmo,NULL,
CONS_100020,Emma,Svensson,Employee,Packer;Picker,SE-LIN,Logistics_Pool_Malmo,NULL,CUST_WAREHOUSE_8
CONS_100021,Karin,Nilsson,Employee,ForkliftOperator,SE-MAL,Logistics_Pool_Malmo,CUST_WAREHOUSE_8,CUST_WAREHOUSE_2
CONS_100022,Ida,Ström,Employee,ForkliftOperator;Picker,SE-STH,Logistics_Pool_Stockholm,CUST_WAREHOUSE_5,CUST_WAREHOUSE_6
CONS_100023,Fatima,Nilsson,Temp,Packer,SE-GOT,Logistics_Pool_Goteborg,NULL,CUST_WAREHOUSE_3
CONS_100024,Lina,Ström,Employee,ForkliftOperator;Packer,SE-MAL;SE-UPP,Logistics_Pool_Malmo,NULL,
CONS_100025,Erik,Åkesson,Employee,ForkliftOperator;Picker;TeamLead,SE-MAL,Logistics_Pool_Malmo;TeamLead_Pool_SE,NULL,CUST_WAREHOUSE_2
CONS_100026,Karin,Lundqvist,Contractor,ForkliftOperator;InventoryControl,SE-LIN,Inventory_Pool_SE,CUST_WAREHOUSE_7,CUST_WAREHOUSE_4;CUST_WAREHOUSE_8
CONS_100027,Fatima,Holm,Employee,ForkliftOperator;Packer,SE-STH;SE-UPP,Logistics_Pool_Stockholm,NULL,
CONS_100028,Ida,Lindberg,Employee,ForkliftOperator;Packer,SE-MAL,Logistics_Pool_Malmo,NULL,CUST_WAREHOUSE_2
CONS_100029,Ali,Håkansson,Employee,Packer;Picker,SE-UPP,Logistics_Pool_Stockholm,NULL,CUST_WAREHOUSE_10
CONS_100030,Axel,Wallin,Contractor,InventoryControl;Packer;Picker,SE-UPP,Logistics_Pool_Goteborg,CUST_WAREHOUSE_4,CUST_WAREHOUSE_10;CUST_WAREHOUSE_5
CONS_100031,Ali,Berg,Contractor,Picker,SE-STH,Logistics_Pool_Stockholm,NULL,CUST_WAREHOUSE_1;CUST_WAREHOUSE_6
CONS_100032,Axel,Lindberg,Contractor,ForkliftOperator;Packer;Picker,SE-UPP,Logistics_Pool_Stockholm,CUST_WAREHOUSE_4,CUST_WAREHOUSE_10;CUST_WAREHOUSE_5
CONS_100033,Johan,Ek,Employee,InventoryControl;Packer,SE-LIN,Inventory_Pool_SE,NULL,CUST_WAREHOUSE_7;CUST_WAREHOUSE_9
CONS_100034,Maja,Svensson,Contractor,ForkliftOperator;InventoryControl,SE-GOT;SE-UPP,Inventory_Pool_SE;Logistics_Pool_Goteborg,NULL,CUST_WAREHOUSE_5
CONS_100035,Sara,Johansson,Employee,ForkliftOperator;Picker,SE-GOT,Logistics_Pool_Goteborg,CUST_WAREHOUSE_7,CUST_WAREHOUSE_3
CONS_100036,Hassan,Löfgren,Temp,ForkliftOperator;InventoryControl;Picker,SE-LIN,Inventory_Pool_SE,NULL,CUST_WAREHOUSE_7;CUST_WAREHOUSE_9
CONS_100037,Nora,Sjöberg,Employee,ForkliftOperator;Packer;Picker,SE-GOT;SE-UPP,Logistics_Pool_Goteborg,CUST_WAREHOUSE_7,CUST_WAREHOUSE_10
CONS_100038,Emma,Ek,Employee,InventoryControl;Picker,SE-UPP,Inventory_Pool_SE,NULL,CUST_WAREHOUSE_10
CONS_100039,Sara,Åkesson,Employee,ForkliftOperator;Packer;TeamLead,SE-MAL;SE-STH,Logistics_Pool_Malmo;Logistics_Pool_Stockholm;TeamLead_Pool_SE,NULL,CUST_WAREHOUSE_1
CONS_100040,Lovisa,Johansson,Employee,InventoryControl;Packer,SE-STH,Inventory_Pool_SE;Logistics_Pool_Stockholm,NULL,CUST_WAREHOUSE_1
CONS_100041,Johan,Löfgren,Employee,ForkliftOperator;InventoryControl;Packer;TeamLead,SE-LIN,Inventory_Pool_SE;TeamLead_Pool_SE,NULL,
CONS_100042,Ali,Wallin,Contractor,ForkliftOperator;Packer;Picker;TeamLead,SE-MAL;SE-STH,Logistics_Pool_Malmo;Logistics_Pool_Stockholm;TeamLead_Pool_SE,NULL,CUST_WAREHOUSE_1;CUST_WAREHOUSE_2
CONS_100043,Viktor,Johansson,Employee,InventoryControl;Packer;Picker,SE-LIN;SE-MAL,Inventory_Pool_SE;Logistics_Pool_Malmo,NULL,
CONS_100044,Viktor,Berg,Contractor,ForkliftOperator;Picker,SE-LIN;SE-UPP,Logistics_Pool_Goteborg,NULL,CUST_WAREHOUSE_5;CUST_WAREHOUSE_7
CONS_100045,Mohammed,Svensson,Temp,Picker;TeamLead,SE-LIN;SE-MAL,Logistics_Pool_Malmo;TeamLead_Pool_SE,NULL,CUST_WAREHOUSE_4;CUST_WAREHOUSE_9
CONS_100046,Nora,Ek,Contractor,InventoryControl;Packer,SE-MAL,Inventory_Pool_SE;Logistics_Pool_Malmo,NULL,CUST_WAREHOUSE_2
CONS_100047,Fatima,Ström,Temp,InventoryControl;Packer;Picker,SE-MAL,Logistics_Pool_Malmo,NULL,CUST_WAREHOUSE_2
CONS_100048,Lina,Lindberg,Employee,ForkliftOperator;InventoryControl,SE-MAL,Inventory_Pool_SE;Logistics_Pool_Malmo,NULL,CUST_WAREHOUSE_2
CONS_100049,Emma,Svensson,Employee,Packer;Picker,SE-LIN,Inventory_Pool_SE,NULL,
CONS_100050,Axel,Persson,Employee,ForkliftOperator;Picker,SE-MAL,Logistics_Pool_Malmo,NULL,CUST_WAREHOUSE_2
CONS_100051,Sara,Löfgren,Contractor,ForkliftOperator;Packer,SE-GOT,Logistics_Pool_Goteborg,NULL,
CONS_100052,Elin,Wallin,Employee,InventoryControl;Packer;Picker,SE-GOT;SE-LIN,Logistics_Pool_Goteborg,NULL,CUST_WAREHOUSE_9
CONS_100053,Lovisa,Andersson,Temp,ForkliftOperator;InventoryControl,SE-GOT,Inventory_Pool_SE;Logistics_Pool_Goteborg,NULL,CUST_WAREHOUSE_3
CONS_100054,Lovisa,Åkesson,Employee,ForkliftOperator;InventoryControl,SE-MAL,Logistics_Pool_Malmo,NULL,CUST_WAREHOUSE_2
CONS_100055,Karin,Johansson,Employee,ForkliftOperator;InventoryControl,SE-MAL,Inventory_Pool_SE;Logistics_Pool_Malmo,NULL,CUST_WAREHOUSE_2
CONS_100056,Lovisa,Nilsson,Temp,ForkliftOperator;InventoryControl,SE-LIN;SE-MAL,Inventory_Pool_SE;Logistics_Pool_Malmo,NULL,CUST_WAREHOUSE_2;CUST_WAREHOUSE_7;CUST_WAREHOUSE_9
CONS_100057,Lina,Åkesson,Employee,InventoryControl;Packer,SE-MAL,Logistics_Pool_Malmo,NULL,CUST_WAREHOUSE_2
CONS_100058,Johan,Eriksson,Employee,ForkliftOperator;InventoryControl;Picker,SE-MAL;SE-UPP,Inventory_Pool_SE;Logistics_Pool_Malmo,NULL,CUST_WAREHOUSE_10;CUST_WAREHOUSE_2;CUST_WAREHOUSE_5
